"148","22","66"
"179","10","95"
"85","21","101"
"118","23","99"
"102","26","16"
"14","49","18"
"81","3","52"
"182","42","93"
"128","41","75"
"168","30","87"
"140","28","81"
"26","9","18"
"103","7","103"
"89","37","103"
"3","23","28"
"26","32","3"
"136","23","90"
"129","22","96"
"138","27","5"
"93","38","34"
"110","6","109"
"24","10","92"
"155","22","44"
"29","27","53"
"142","41","14"
"18","19","87"
"175","40","103"
"135","24","21"
"105","14","19"
"44","7","36"
"176","19","66"
"130","43","77"
"199","25","4"
"28","50","54"
"58","10","100"
"21","9","44"
"126","21","30"
"142","28","98"
"115","18","36"
"5","0","57"
"124","17","11"
"146","18","85"
"153","5","55"
"93","15","86"
"57","25","80"
"110","22","36"
"86","3","76"
"113","41","57"
"82","15","23"
"67","20","95"
"101","40","86"
"64","16","45"
"134","42","60"
"158","44","61"
"86","26","97"
"187","50","13"
"4","1","90"
"58","13","39"
"143","9","79"
"45","6","108"
"132","21","62"
"155","23","52"
"95","30","45"
"77","46","58"
"8","26","47"
"10","32","3"
"55","35","41"
"130","42","84"
"105","25","16"
"39","25","104"
"168","19","86"
"35","12","19"
"153","12","19"
"159","46","51"
"134","0","68"
"194","6","106"
"121","26","35"
"73","15","82"
"36","41","20"
"188","2","84"
"95","19","47"
"65","50","94"
"3","20","8"
"8","43","14"
"54","8","7"
"102","5","28"
"158","35","34"
"104","49","18"
"129","13","4"
"122","0","21"
"87","21","18"
"111","21","87"
"176","41","87"
"116","47","103"
"166","45","41"
"176","32","42"
"140","37","1"
"48","15","66"
"43","8","49"
"9","3","50"
"144","25","98"
"118","15","32"
"12","26","87"
"113","3","52"
"54","26","49"
"185","1","53"
"56","8","62"
"166","5","82"
"18","47","99"
"91","4","8"
"10","5","93"
"47","19","71"
"121","15","18"
"172","14","26"
"155","43","41"
"182","4","46"
"196","40","32"
"128","31","72"
"31","7","14"
"63","19","50"
"47","17","66"
"109","13","60"
"126","36","91"
"112","24","85"
"37","23","0"
"156","17","71"
"197","6","109"
"4","16","28"
"158","36","23"
"44","12","39"
"72","2","45"
"177","46","10"
"116","32","107"
"14","0","95"
"194","34","11"
"56","8","1"
"6","22","75"
"43","0","84"
"146","23","15"
"141","8","15"
"134","35","81"
"85","43","90"
"10","49","29"
"164","47","105"
"76","31","3"
"14","48","60"
"108","34","5"
"186","26","46"
"162","11","97"
"51","33","10"
