"0","72"
"1","2"
"2","36"
"3","5"
"4","2"
"5","49"
"6","70"
"7","79"
"8","71"
"9","97"
"10","18"
"11","62"
"12","12"
"13","100"
"14","107"
"15","11"
"16","73"
"17","6"
"18","52"
"19","26"
"20","31"
"21","30"
"22","104"
"23","100"
"24","0"
"25","9"
"26","12"
"27","84"
"28","94"
"29","27"
"30","99"
"31","83"
"32","101"
"33","101"
"34","26"
"35","56"
"36","109"
"37","47"
"38","68"
"39","43"
"40","90"
"41","44"
"42","93"
"43","85"
"44","91"
"45","78"
"46","1"
"47","55"
"48","49"
"49","48"
"50","75"
"51","61"
"52","53"
"53","41"
"54","105"
"55","19"
"56","0"
"57","27"
"58","102"
"59","26"
"60","51"
"61","50"
"62","16"
"63","95"
"64","108"
"65","99"
"66","62"
"67","98"
"68","34"
"69","84"
"70","82"
"71","71"
"72","69"
"73","100"
"74","5"
"75","53"
"76","103"
"77","41"
"78","24"
"79","2"
"80","53"
"81","41"
"82","22"
"83","14"
"84","83"
"85","30"
"86","95"
"87","40"
"88","50"
"89","86"
"90","40"
"91","40"
"92","23"
"93","24"
"94","98"
"95","75"
"96","31"
"97","104"
"98","48"
"99","13"
"100","49"
"101","98"
"102","102"
"103","109"
"104","75"
"105","71"
"106","80"
"107","76"
"108","31"
"109","95"
"110","96"
"111","38"
"112","1"
"113","102"
"114","23"
"115","75"
"116","38"
"117","46"
"118","41"
"119","65"
"120","43"
"121","75"
"122","52"
"123","94"
"124","56"
"125","23"
"126","44"
"127","10"
"128","31"
"129","46"
"130","86"
"131","46"
"132","25"
"133","101"
"134","4"
"135","41"
"136","65"
"137","106"
"138","88"
"139","81"
"140","12"
"141","47"
"142","109"
"143","32"
"144","72"
"145","80"
"146","3"
"147","10"
"148","35"
"149","17"
"150","56"
"151","35"
"152","37"
"153","107"
"154","9"
"155","68"
"156","9"
"157","76"
"158","17"
"159","75"
"160","15"
"161","8"
"162","68"
"163","31"
"164","76"
"165","7"
"166","16"
"167","71"
"168","43"
"169","88"
"170","12"
"171","9"
"172","100"
"173","17"
"174","96"
"175","73"
"176","105"
"177","22"
"178","106"
"179","98"
"180","44"
"181","17"
"182","33"
"183","67"
"184","60"
"185","83"
"186","91"
"187","35"
"188","31"
"189","89"
"190","68"
"191","97"
"192","0"
"193","37"
"194","27"
"195","44"
"196","25"
"197","48"
"198","63"
"199","41"
"200","32"
"201","1"
"202","76"
"203","100"
"204","18"
"205","33"
"206","29"
"207","38"
"208","38"
"209","17"
"210","31"
"211","41"
"212","19"
"213","71"
"214","11"
"215","13"
"216","63"
"217","43"
"218","104"
"219","78"
"220","10"
"221","103"
"222","29"
"223","85"
"224","86"
"225","37"
"226","20"
"227","5"
"228","35"
"229","1"
"230","3"
"231","107"
"232","10"
"233","39"
"234","33"
"235","84"
"236","40"
"237","54"
"238","53"
"239","17"
"240","83"
"241","85"
"242","78"
"243","88"
"244","67"
"245","82"
"246","14"
"247","76"
"248","106"
"249","53"
